date,value
2011-01-01,18648.0286758275
2011-04-01,20011.9853888669
2011-07-01,21650.3664385625
2011-10-01,22998.1174466734
2012-01-01,19662.1999201111
2012-04-01,20899.3295212773
2012-07-01,22357.1559290695
2012-10-01,23435.4892665196
2013-01-01,19909.3153345989
2013-04-01,21251.172957833
2013-07-01,22720.8750801796
2013-10-01,24014.5394079716
2014-01-01,20002.5420934164
2014-04-01,21528.0721290005
2014-07-01,22921.0072361243
2014-10-01,24093.481139679
2015-01-01,19710.8692941919
2015-04-01,20822.0802888186
2015-07-01,22331.9637216909
2015-10-01,23432.634085229
2016-01-01,19609.8340741956
2016-04-01,20743.4682565541
2016-07-01,22277.6347606889
2016-10-01,23517.6285250821
2017-01-01,19727.7809659554
2017-04-01,21265.3092968229
2017-07-01,22763.8842907933
2017-10-01,23723.1293350212
2018-01-01,19992.478356815
2018-04-01,21678.558213934
